sentiment_label,sentiment_score,sentiment_polarity,fatigue_total,fatigue_word_density,fatigue_physical,fatigue_mental,fatigue_schedule,fatigue_injury,fatigue_motivation,avg_sentence_len,type_token_ratio,first_person_rate,negation_rate,word_count,llm_fatigue_label,llm_fatigue_confidence,llm_reason,nlp_processed
NEGATIVE,0.9959630370140076,-0.996,0,0.0,0,0,0,0,0,9.0,0.8611,0.0278,0.0,36,,,,1
POSITIVE,0.988232895731926,0.9882,2,0.1221,0,0,0,1,1,14.04,0.2597,0.0872,0.0037,1629,,,,1
POSITIVE,0.987568587064743,0.9876,2,0.1221,0,0,0,1,1,13.92,0.2591,0.0872,0.0037,1629,,,,1
POSITIVE,0.5018628239631653,0.5019,1,0.0814,0,0,1,0,0,9.14,0.2755,0.1012,0.0041,1216,,,,1
POSITIVE,0.4976016730070114,0.4976,1,0.0518,0,0,0,0,1,12.48,0.2664,0.0682,0.0083,1922,,,,1
POSITIVE,0.9883467555046082,0.9883,0,0.0,0,0,0,0,0,16.23,0.4929,0.0664,0.0095,211,,,,1
POSITIVE,0.9995245933532715,0.9995,0,0.0,0,0,0,0,0,15.25,0.4399,0.1148,0.0027,366,,,,1
POSITIVE,0.9982326030731201,0.9982,2,0.1637,0,0,0,2,0,12.86,0.3036,0.0587,0.0025,1209,,,,1
POSITIVE,0.9931243360042572,0.9931,2,0.1179,0,0,0,0,2,14.16,0.2641,0.0469,0.0053,1685,,,,1
POSITIVE,0.996723473072052,0.9967,6,0.8633,3,0,3,0,0,8.29,0.3009,0.0945,0.0044,688,,,,1
POSITIVE,0.4541359096765518,0.4541,8,0.396,1,0,0,6,1,11.11,0.256,0.0971,0.0106,1988,,,,1
POSITIVE,0.9157841205596924,0.9158,2,0.1436,1,0,0,0,1,14.24,0.2563,0.0854,0.0058,1381,,,,1
NEGATIVE,0.5213279724121094,-0.5213,1,0.4082,0,0,1,0,0,9.15,0.5168,0.0672,0.0042,238,,,,1
NEGATIVE,0.9331601858139038,-0.9332,0,0.0,0,0,0,0,0,8.62,0.7826,0.087,0.0,69,,,,1
NEGATIVE,0.5117311030626297,-0.5117,1,0.0599,1,0,0,0,0,14.65,0.2415,0.0803,0.0097,1656,,,,1
POSITIVE,0.9968449175357819,0.9968,4,0.818,3,0,0,1,0,9.86,0.4017,0.0704,0.0083,483,,,,1
POSITIVE,0.804901972413063,0.8049,0,0.0,0,0,0,0,0,13.51,0.2812,0.0715,0.009,1216,,,,1
POSITIVE,0.9959931522607803,0.996,4,0.2226,1,0,0,0,3,12.58,0.2447,0.0946,0.0067,1786,,,,1
POSITIVE,0.9942871183156967,0.9943,6,0.4196,0,0,3,3,0,18.04,0.2835,0.0611,0.0042,1425,,,,1
POSITIVE,0.8404699563980103,0.8405,0,0.0,0,0,0,0,0,21.0,0.5714,0.1143,0.0,105,,,,1
POSITIVE,0.9997485280036926,0.9997,1,0.495,0,0,0,0,1,18.18,0.58,0.05,0.01,200,,,,1
POSITIVE,0.9990814924240112,0.9991,0,0.0,0,0,0,0,0,10.79,0.439,0.0756,0.0098,410,,,,1
